Id,Abstract,Task 1
D00133,"integrating model-free model-based approaches reinforcement learning potential achieve high performance model-free algorithms low sample complexity.$$$however, difficult imperfect dynamics model degrade performance learning algorithm, sufficiently complex environments, dynamics model imperfect.$$$as result, key challenge combine model-based approaches model-free learning way errors model degrade performance.$$$we propose stochastic ensemble value expansion (steve), novel model-based technique addresses issue.$$$by dynamically interpolating model rollouts horizon lengths individual example, steve ensures model utilized introduce significant errors.$$$our approach outperforms model-free baselines challenging continuous control benchmarks order-of-magnitude increase sample efficiency, contrast previous model-based approaches, performance degrade complex environments.",BACKGROUND OBJECTIVES OBJECTIVES METHODS METHODS RESULTS
D06407,"network covert channel created uses resource names addresses convey information, approximates typical user behavior order blend environment.$$$the channel correlates available resource names user defined code-space, transmits covert message selectively accessing resources associated message codes.$$$in paper focus implementation channel hypertext transfer protocol (http) uniform resource locators (urls) message names, conjunction variety protocols.$$$the covert channel modify expected protocol structure detected simple inspection, http implementation emulates transaction level web user behavior order avoid detection statistical behavioral analysis.",OBJECTIVES METHODS METHODS METHODS
D04280,"data diversity critical success training deep learning models.$$$medical imaging data sets imbalanced pathologic findings generally rare, introduces significant challenges training deep learning models.$$$in work, propose method generate synthetic abnormal mri images brain tumors training generative adversarial network publicly available data sets brain mri.$$$we demonstrate unique benefits synthetic images provide.$$$first, illustrate improved performance tumor segmentation leveraging synthetic images form data augmentation.$$$second, demonstrate value generative models anonymization tool, achieving comparable tumor segmentation results trained synthetic data versus trained real subject data.$$$together, results offer potential solution largest challenges facing machine learning medical imaging, small incidence pathological findings, restrictions sharing patient data.",BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS RESULTS RESULTS/CONCLUSIONS
D02399,"problem distributed dynamic state estimation wireless sensor networks studied.$$$two important properties local estimates, namely, consistency confidence, emphasized.$$$on hand, consistency, means approximated error covariance lower bounded true unknown one, guaranteed estimate over-confident.$$$on hand, confidence indicates accuracy estimate, estimate confident possible.$$$we analyze different information fusion strategies case information sources with, respectively, uncorrelated errors unknown correlated errors.$$$then distributed hybrid information fusion algorithm proposed, agent uses information obtained itself, neighbors communication.$$$the proposed algorithm guarantees consistency estimates, utilizes available information sources efficient manner improves confidence.$$$besides, proposed algorithm fully distributed guarantees convergence sufficient condition formulated.$$$the comparisons existing algorithms shown.",OBJECTIVES CONCLUSIONS BACKGROUND BACKGROUND METHODS METHODS RESULTS RESULTS METHODS
D05713,"iterative decoding linear programming decoding guaranteed converge maximum-likelihood codeword underlying tanner graph cycle-free.$$$therefore, cycles usually seen culprit low-density parity-check (ldpc) codes.$$$in paper, argue context graph cover pseudocodeword that, code permits cycle-free tanner graph, cycles effect error performance long redundant rows.$$$specifically, characterize parity-check matrices pseudocodeword-free class codes.",BACKGROUND BACKGROUND RESULTS/CONCLUSIONS METHODS
D03255,"attributing culprit cyber-attack widely considered major technical policy challenges cyber-security.$$$the lack ground truth individual responsible given attack limited previous studies.$$$here, overcome limitation leveraging defcon capture-the-flag (ctf) exercise data actual ground-truth known.$$$in work, use classification techniques identify culprit cyberattack deceptive activities account majority misclassified samples.$$$we explore heuristics alleviate misclassification caused deception.",BACKGROUND BACKGROUND METHODS OBJECTIVES METHODS
D06027,"high implementation complexity multi-scroll circuit bottleneck problem real chaos-based communication.$$$especially, multi-scroll chua's circuit, simplified implementation piecewise-linear resistors multiple segments difficult intricate irregular breakpoints slopes.$$$to solve challenge, paper presents systematic scheme synthesizing chua's diode multi-segment piecewise-linearity, achieved cascading even-numbered passive nonlinear resistors odd-numbered ones negative impedance converter (nic).$$$as extra dc bias voltage employed scheme implemented simpler circuit.$$$the voltage-current characteristics obtained chua's diode analyzed theoretically verified numerical simulations.$$$based available chua's diode second-order active sallen-key high-pass filter, new inductor-free chua's circuit constructed generate multi-scroll chaotic attractors.$$$the circuit simulations hardware experiments confirmed feasibility designed system.",BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS METHODS/RESULTS OBJECTIVES/METHODS/RESULTS CONCLUSIONS
D02265,"introduce segmental recurrent neural networks (srnns) define, given input sequence, joint probability distribution segmentations input labelings segments.$$$representations input segments (i.e., contiguous subsequences input) computed encoding constituent tokens bidirectional recurrent neural nets, ""segment embeddings"" define compatibility scores output labels.$$$these local compatibility scores integrated global semi-markov conditional random field.$$$both fully supervised training -- segment boundaries labels observed -- partially supervised training -- segment boundaries latent -- straightforward.$$$experiments handwriting recognition joint chinese word segmentation/pos tagging that, compared models explicitly represent segments bio tagging schemes connectionist temporal classification (ctc), srnns obtain substantially higher accuracies.",OBJECTIVES/CONCLUSIONS METHODS METHODS METHODS RESULTS
D01942,"paper, derive temporal arbitrage policy storage reinforcement learning.$$$real-time price arbitrage important source revenue storage units, designing good strategies proven difficult highly uncertain nature prices.$$$instead current model predictive dynamic programming approaches, use reinforcement learning design optimal arbitrage policy.$$$this policy learned repeated charge discharge actions performed storage unit updating value matrix.$$$we design reward function reflect instant profit charge/discharge decisions incorporate history information.$$$simulation results demonstrate designed reward function leads significant performance improvement compared existing algorithms.",OBJECTIVES/METHODS BACKGROUND/OBJECTIVES BACKGROUND/METHODS METHODS METHODS RESULTS/CONCLUSIONS
D00764,"group transition probability functions form shannon's channel group truth functions form semantic channel.$$$by kind bayes' theorem, directly convert shannon's channel optimized semantic channel.$$$when sample big enough, use truth function parameters produce likelihood function, train truth function conditional sampling distribution.$$$the kind bayes' theorem proved.$$$a semantic information theory simply introduced.$$$the semantic information measure reflects popper's hypothesis-testing thought.$$$the semantic information method (sim) adheres maximum semantic information criterion compatible maximum likelihood criterion regularized squares criterion.$$$it supports wittgenstein's view: meaning word lies use.$$$letting channels mutually match, obtain channels' matching (cm) algorithm machine learning.$$$the cm algorithm explain evolution semantic meaning natural language, ""old age"".$$$the semantic channel medical tests confirmation measures test-positive test-negative discussed.$$$the applications cm algorithm semi-supervised learning non-supervised learning simply introduced.$$$as predictive model, semantic channel fits variable sources overcome class-imbalance problem.$$$the sim strictly distinguishes statistical probability logical probability uses time.$$$this method compatible thoughts bayes, fisher, shannon, zadeh, tarski, davidson, wittgenstein, popper.it competitive alternative bayesian inference.",METHODS METHODS METHODS METHODS BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS METHODS METHODS RESULTS RESULTS METHODS BACKGROUND
D03177,"bug localization object oriented program ha s important issue softeware engineering.$$$in paper, propose source level bug localization technique object oriented embedded programs.$$$my proposed technique, presents idea debugging object oriented program class level, incorporating object state information class dependence graph (cldg).$$$given program (having buggy statement) input fails pass, approach uses concrete symbolic execution synthesize passing inputs marginally failing input control flow behavior.$$$a comparison execution traces failing input passing input provides necessary clues root-cause failure.$$$a state trace difference, respective nodes cldg obtained, leads detect bug program.",BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS OTHERS
D03046,"paper proposes new approach novel value network architecture game go, called multi-labelled (ml) value network.$$$in ml value network, different values (win rates) trained simultaneously different settings komi, compensation given balance initiative playing first.$$$the ml value network advantages, (a) outputs values different komi, (b) supports dynamic komi, (c) lowers mean squared error (mse).$$$this paper proposes new dynamic komi method improve game-playing strength.$$$this paper performs experiments demonstrate merits architecture.$$$first, mse ml value network generally lower value network alone.$$$second, program based ml value network wins rate 67.6% program based value network alone.$$$third, program proposed dynamic komi method significantly improves playing strength baseline use dynamic komi, especially handicap games.$$$to knowledge, date, handicap games played openly programs value networks.$$$this paper provides programs useful approach playing handicap games.",METHODS BACKGROUND CONCLUSIONS METHODS RESULTS RESULTS RESULTS RESULTS CONCLUSIONS RESULTS
D03065,"phase retrieval refers problem recovering real- complex-valued vectors magnitude measurements.$$$the best-known algorithms problem iterative nature rely so-called spectral initializers provide accurate initialization vectors.$$$we propose novel class estimators suitable general nonlinear measurement systems, called linear spectral estimators (lspes), compute accurate initialization vectors phase retrieval problems.$$$the proposed lspes provide accurate initialization vectors noisy phase retrieval systems structured random measurement matrices, enable derivation sharp nonasymptotic mean-squared error bounds.$$$we demonstrate efficacy lspes synthetic real-world phase retrieval problems, estimators significantly outperform existing methods structured measurement systems arise practice.",OBJECTIVES BACKGROUND METHODS RESULTS RESULTS/CONCLUSIONS
D00102,"life span large software projects, developers apply code changes different code locations slight variations.$$$since application changes locations time-consuming error-prone, tools exist learn change patterns input examples, search possible pattern applications, generate corresponding recommendations.$$$in cases, generated recommendations syntactically semantically wrong code movements input examples.$$$thus, low accuracy developers directly copy projects adjustments.$$$we present accurate recommendation (ares) achieves higher accuracy tools algorithms care code movements creating patterns recommendations.$$$on average, recommendations ares accuracy 96% respect code changes developers manually performed commits source code archives.$$$at time ares achieves precision recall values par tools.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES/METHODS/CONCLUSIONS RESULTS RESULTS
D06238,"acquisition labeled training samples affective computing usually costly time-consuming, affects intrinsically subjective, subtle uncertain, multiple human assessors needed evaluate affective sample.$$$particularly, affect estimation 3d space valence, arousal dominance, assessor perform evaluations dimensions, makes labeling problem challenging.$$$many sophisticated machine learning approaches proposed reduce data labeling requirement domains, far considered affective computing.$$$this paper proposes multi-task active learning regression approaches, select beneficial samples label, considering affect primitives simultaneously.$$$experimental results vam corpus demonstrated optimal sample selection approaches result better estimation performance random selection traditional single-task active learning approaches.$$$thus, help alleviate data labeling problem affective computing, i.e., better estimation performance obtained fewer labeling queries.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS CONCLUSIONS
D01372,"literature search critical scientific research.$$$different web general domain search, large portion queries scientific literature search entity-set queries, is, multiple entities possibly different types.$$$entity-set queries reflect user's need finding documents contain multiple entities reveal inter-entity relationships pose non-trivial challenges existing search algorithms model entity separately.$$$however, entity-set queries usually sparse (i.e., repetitive), makes ineffective supervised ranking models rely heavily associated click history.$$$to address challenges, introduce setrank, unsupervised ranking framework models inter-entity relationships captures entity type information.$$$furthermore, develop novel unsupervised model selection algorithm, based technique weighted rank aggregation, automatically choose parameter settings setrank resorting labeled validation set.$$$we evaluate proposed unsupervised approach datasets trec genomics tracks semantic scholar's query log.$$$the experiments demonstrate setrank significantly outperforms baseline unsupervised models, especially entity-set queries, model selection algorithm effectively chooses suitable parameter settings.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS RESULTS CONCLUSIONS
D00626,"smart city provides people high standard living advanced technologies transport major foci.$$$with advent autonomous vehicles (avs), av-based public transportation proposed recently, capable providing new forms transportation services high efficiency, high flexibility, low cost.$$$for benefit passengers, multitenancy increase market competition leading lower service charge higher quality service.$$$in paper, study pricing issue multi-tenant av public transportation types services defined.$$$the pricing process service type modeled combinatorial auction, service providers, bidders, compete offering transportation services.$$$the winners auction determined integer linear program.$$$to prevent bidders raising bids higher returns, propose strategy-proof vickrey-clarke-groves-based charging mechanism, maximize social welfare, settle final charges customers.$$$we perform extensive simulations verify analytical results evaluate performance charging mechanism.",BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES METHODS METHODS METHODS RESULTS
D03917,"typical problem moocs missing opportunity course conductors individually support students overcoming problems misconceptions.$$$this paper presents results automatically intervening struggling students programming exercises offering peer feedback tailored bonus exercises.$$$to improve learning success, want abolish instructionally desired trial error reduce extensive struggle demotivation.$$$therefore, developed adaptive automatic just-in-time interventions encourage students ask help require considerably average working time solve exercise.$$$additionally, offered students bonus exercises tailored individual weaknesses.$$$the approach evaluated live course 5,000 active students survey metrics gathered alongside.$$$results increase outs help 66% lower dwelling time issuing action.$$$learnings experiments pinpoint course material improved tailor content audience specific.",BACKGROUND OBJECTIVES OBJECTIVES/METHODS METHODS METHODS METHODS RESULTS OTHERS
D01076,"mafia (also called werewolf) party game.$$$the participants divided competing groups: citizens mafia.$$$the objective eliminate opponent group.$$$the game consists consecutive phases (day night) certain set actions (e.g. lynching day).$$$the mafia members additional powers (knowing other, killing night) citizens numerous.$$$we propose simple mathematical model game, essentially pure death process discrete time.$$$we closed-form solutions mafia winning-chance, w(n,m), evolution game.$$$moreover, investigate discrete properties results, continuous-time approximations.$$$it turns relatively small number mafia members, i.e. proportional square root total number players, gives equal winning-chance groups.$$$furthermore, game strongly depends parity total number players.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS OBJECTIVES/RESULTS OBJECTIVES/METHODS RESULTS RESULTS
D03257,"effective data analysis ideally requires analyst high expertise high knowledge data.$$$even familiarity, manually pursuing potential hypotheses exploring possible views impractical.$$$we present datasite, proactive visual analytics burden selecting executing appropriate computations shared automatic server-side computation engine.$$$salient features identified automatic background processes surfaced notifications feed timeline.$$$datasite effectively turns data analysis conversation analyst computer, reducing cognitive load domain knowledge requirements.$$$we validate user study comparing recent visualization recommendation system, yielding significant improvement, particularly complex analyses existing analytics systems support well.",BACKGROUND BACKGROUND OBJECTIVES METHODS OBJECTIVES METHODS/RESULTS
D02317,"recently, increasing attention directed study speech emotion recognition, global acoustic features utterance eliminate content differences.$$$however, expression speech emotion dynamic process, reflected dynamic durations, energies, prosodic information speaks.$$$in paper, novel local dynamic pitch probability distribution feature, obtained drawing histogram, proposed improve accuracy speech emotion recognition.$$$compared previous works global features, proposed method takes advantage local dynamic information conveyed emotional speech.$$$several experiments berlin database emotional speech conducted verify effectiveness proposed method.$$$the experimental results demonstrate local dynamic information obtained proposed method effective speech emotion recognition traditional global features.",BACKGROUND BACKGROUND/OBJECTIVES METHODS RESULTS METHODS CONCLUSIONS
D00562,"binary classification rules based covariates typically depend simple loss functions zero-one misclassification.$$$some cases require complex loss functions.$$$for example, individual-level monitoring hiv-infected individuals antiretroviral therapy (art) requires periodic assessment treatment failure, defined having viral load (vl) value certain threshold.$$$in resource limited settings, vl tests limited cost technology, diagnoses based clinical markers.$$$depending scenario, higher premium placed avoiding false-positives brings greater cost reduced treatment options.$$$here, optimal rule determined minimizing weighted misclassification loss/risk.$$$we propose method finding cross-validating optimal binary classification rules weighted misclassification loss.$$$we focus rules comprising prediction score associated threshold, score derived ensemble learner.$$$simulations examples method, derives score threshold jointly, accurately estimates overall risk better operating characteristics compared methods derive score cutoff conditionally score especially finite samples.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS RESULTS/CONCLUSIONS
D05445,"paper present start analyzing icub world data-set, object recognition data-set, acquired human-robot interaction (hri) scheme icub humanoid robot platform.$$$our set allows rapid acquisition annotation data corresponding ground truth.$$$while constrained scopes -- icub world essentially robotics research lab -- demonstrate proposed data-set poses challenges current recognition systems.$$$the icubworld data-set publicly available.$$$the data-set downloaded from: http://www.iit.it/en/projects/data-sets.html.",OBJECTIVES RESULTS RESULTS CONCLUSIONS RESULTS
D05104,"delay-coordinate reconstruction proven modeling strategy building effective forecasts nonlinear time series.$$$the step process estimation good values parameters, time delay embedding dimension.$$$many heuristics strategies proposed literature estimating values.$$$few, any, methods developed forecasting mind, however, results optimal purpose.$$$even so, heuristics---intended applications---are routinely building delay coordinate reconstruction-based forecast models.$$$in paper, propose new strategy choosing optimal parameter values forecast methods based delay-coordinate reconstructions.$$$the basic calculation involves maximizing shared information delay vector future state system.$$$we illustrate effectiveness method synthetic experimental systems, showing metric calculated quickly reliably relatively short time series, provides direct indication near-neighbor based forecasting method work given delay reconstruction time series.$$$this allows practitioner choose reconstruction parameters avoid pathologies, regardless underlying mechanism, maximize predictive information contained reconstruction.",BACKGROUND METHODS BACKGROUND OBJECTIVES BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS
D03008,"recent networking research identified data-driven congestion control (cc) efficient traditional cc tcp.$$$deep reinforcement learning (rl), particular, potential learn optimal network policies.$$$however, rl suffers instability over-fitting, deficiencies far render unacceptable use datacenter networks.$$$in paper, analyze requirements rl succeed datacenter context.$$$we present new emulator, iroko, developed support different network topologies, congestion control algorithms, deployment scenarios.$$$iroko interfaces openai gym toolkit, allows fast fair evaluation different rl traditional cc algorithms conditions.$$$we present initial benchmarks deep rl algorithms compared tcp new vegas dctcp.$$$our results algorithms able learn cc policy exceeds performance tcp new vegas dumbbell fat-tree topology.$$$we emulator open-source publicly available: https://github.com/dcgym/iroko",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS CONCLUSIONS
D01116,"report simulation nanostructured memristor device piecewise linear nonlinear window functions rram neuromorphic applications.$$$the linear drift model memristor exploited simulation purpose linear non-linear window function mathematical scripting basis.$$$the results evidences piecewise linear window function aptly simulate memristor characteristics pertaining rram application.$$$however, nonlinear window function exhibit nonlinear phenomenon simulation lower magnitude control parameter.$$$this motivated propose new nonlinear window function emulating simulation model memristor.$$$interestingly, proposed window function scalable f(x)=1 exhibits nonlinear behavior higher magnitude control parameter.$$$moreover, simulation results proposed nonlinear window function encouraging reveals smooth nonlinear change lrs hrs vice versa useful neuromorphic applications.",BACKGROUND METHODS RESULTS RESULTS RESULTS/CONCLUSIONS CONCLUSIONS CONCLUSIONS
D03909,"robots increasingly prevalent human environments, inevitably times robot needs interrupt human initiate interaction.$$$our work introduces interruptibility-aware mobile robot system, evaluates effects interruptibility-awareness human task performance, robot task performance, human interpretation robot's social aptitude.$$$our results robot effective predicting interruptibility high accuracy, allowing interrupt appropriate times.$$$results large-scale user study participants able maintain task performance presence interruptions, interruptibility-awareness improves robot's task performance improves participant social perception robot.",BACKGROUND/OBJECTIVES CONCLUSIONS CONCLUSIONS RESULTS
D02154,"maximum-likelihood estimation (mle) widely sequence sequence tasks model training.$$$it uniformly treats generation/prediction target token multi-class classification, yields non-smooth prediction probabilities: target sequence, tokens predicted small probabilities tokens large probabilities.$$$according empirical study, non-smoothness probabilities results low quality generated sequences.$$$in paper, propose sentence-wise regularization method aims output smooth prediction probabilities tokens target sequence.$$$our proposed method automatically adjust weights gradients token sentence ensure predictions sequence uniformly well.$$$experiments neural machine translation tasks text summarization task method outperforms conventional mle loss tasks achieves promising bleu scores wmt14 english-german wmt17 chinese-english translation task.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS
D06224,"recurrent neural networks (rnns) state art sequence modeling natural language.$$$however, remains poorly understood grammatical characteristics natural language implicitly learn represent consequence optimizing language modeling objective.$$$here deploy methods controlled psycholinguistic experimentation shed light extent rnn behavior reflects incremental syntactic state grammatical dependency representations known characterize human linguistic behavior.$$$we broadly test publicly available long short-term memory (lstm) english sequence models, learn test new japanese lstm.$$$we demonstrate models represent maintain incremental syntactic state, generalize way humans.$$$furthermore, models learn appropriate grammatical dependency configurations licensing reflexive pronouns negative polarity items.",BACKGROUND OBJECTIVES METHODS METHODS CONCLUSIONS CONCLUSIONS
D05292,"wireless sensor network (wsn) consists large number low-cost, resource-constrained sensor nodes.$$$the constraints wireless sensor node characteristics include low memory, low computation power, deployed hostile area left unattended, small range communication capability low energy capabilities.$$$base characteristics makes network vulnerable attacks, sinkhole attack.$$$sinkhole attack type attack compromised node tries attract network traffic advertise fake routing update.$$$one impacts sinkhole attack that, launch attacks like selective forwarding attack, acknowledge spoofing attack drops altered routing information.$$$it send bogus information base station.$$$this paper focus exploring analyzing existing solutions detect identify sinkhole attack wireless sensor network.$$$the analysis based advantages limitation proposed solutions.",BACKGROUND BACKGROUND BACKGROUND RESULTS RESULTS RESULTS OBJECTIVES METHODS
D03510,"work presents supervised learning based approach vision problem frame interpolation.$$$the presented technique cartoon animations drawing individual frame consumes noticeable time.$$$the existing solutions problem use unsupervised methods focus real life videos high frame rate.$$$however, experiments methods work frame rate low object displacements frames large.$$$this fact interpolation large displacement motion requires knowledge motion structure simple techniques frame averaging start fail.$$$in work deep convolutional neural network solve frame interpolation problem.$$$in addition, shown incorporating prior information optical flow improves interpolation quality significantly.",BACKGROUND BACKGROUND BACKGROUND RESULTS RESULTS OBJECTIVES METHODS
D01288,"despite progress achieved deep learning face recognition (fr), people racial bias explicitly degrades performance realistic fr systems.$$$facing fact existing training testing databases consist caucasian subjects, independent testing databases evaluate racial bias training databases methods reduce it.$$$to facilitate research conquering unfair issues, paper contributes new dataset called racial faces in-the-wild (rfw) database important uses, 1) racial bias testing: testing subsets, caucasian, asian, indian african, constructed, contains 3000 individuals 6000 image pairs face verification, 2) racial bias reducing: labeled training subset caucasians unlabeled training subsets asians, indians africans offered encourage fr algorithms transfer recognition knowledge caucasians races.$$$for know, rfw database measuring racial bias fr algorithms.$$$after proving existence domain gap different races existence racial bias fr algorithms, propose deep information maximization adaptation network (iman) bridge domain gap, comprehensive experiments racial bias narrowed-down algorithm.",BACKGROUND BACKGROUND OBJECTIVES/METHODS CONCLUSIONS METHODS/RESULTS
D00246,"rate control widely adopted video streaming provide high video qualities low latency network conditions.$$$however, despite work proposed, fail tackle major problem: previous methods determine future transmission rate single value entire time-slot, real-world network conditions, unlike lab setup, suffer rapid stochastic changes, resulting failures predictions.$$$in paper, propose delay-constrained rate control approach based end-to-end deep learning.$$$the proposed model predicts future bit rate single value, possible bit rate ranges target delay gradient, transmission delay guaranteed.$$$we collect large scale real-world live streaming data train model, result, automatically learns correlation throughput target delay gradient.$$$we build testbed evaluate approach.$$$compared state-of-the-art methods, approach demonstrates better performance bandwidth utilization.$$$in considered scenarios, range based rate control approach outperforms range 19% 35% average qoe improvement.",BACKGROUND OBJECTIVES OBJECTIVES METHODS METHODS METHODS RESULTS/CONCLUSIONS RESULTS
