Id,Abstract,Task 2
D04280,"data diversity is critical to success when training deep learning models.$$$medical imaging data sets are often imbalanced as pathologic findings are generally rare, which introduces significant challenges when training deep learning models.$$$in this work, we propose a method to generate synthetic abnormal mri images with brain tumors by training a generative adversarial network using two publicly available data sets of brain mri.$$$we demonstrate two unique benefits that the synthetic images provide.$$$first, we illustrate improved performance on tumor segmentation by leveraging the synthetic images as a form of data augmentation.$$$second, we demonstrate the value of generative models as an anonymization tool, achieving comparable tumor segmentation results when trained on the synthetic data versus when trained on real subject data.$$$together, these results offer a potential solution to two of the largest challenges facing machine learning in medical imaging, namely the small incidence of pathological findings, and the restrictions around sharing of patient data.",ENGINEERING
D02399,"the problem of distributed dynamic state estimation in wireless sensor networks is studied.$$$two important properties of local estimates, namely, the consistency and confidence, are emphasized.$$$on one hand, the consistency, which means that the approximated error covariance is lower bounded by the true unknown one, has to be guaranteed so that the estimate is not over-confident.$$$on the other hand, since the confidence indicates the accuracy of the estimate, the estimate should be as confident as possible.$$$we first analyze two different information fusion strategies used in the case of information sources with, respectively, uncorrelated errors and unknown but correlated errors.$$$then a distributed hybrid information fusion algorithm is proposed, where each agent uses the information obtained not only by itself, but also from its neighbors through communication.$$$the proposed algorithm not only guarantees the consistency of the estimates, but also utilizes the available information sources in a more efficient manner and hence improves the confidence.$$$besides, the proposed algorithm is fully distributed and guarantees convergence with the sufficient condition formulated.$$$the comparisons with existing algorithms are shown.",THEORETICAL
D05713,"iterative decoding and linear programming decoding are guaranteed to converge to the maximum-likelihood codeword when the underlying tanner graph is cycle-free.$$$therefore, cycles are usually seen as the culprit of low-density parity-check (ldpc) codes.$$$in this paper, we argue in the context of graph cover pseudocodeword that, for a code that permits a cycle-free tanner graph, cycles have no effect on error performance as long as they are a part of redundant rows.$$$specifically, we characterize all parity-check matrices that are pseudocodeword-free for such class of codes.",THEORETICAL
D03255,"attributing the culprit of a cyber-attack is widely considered one of the major technical and policy challenges of cyber-security.$$$the lack of ground truth for an individual responsible for a given attack has limited previous studies.$$$here, we overcome this limitation by leveraging defcon capture-the-flag (ctf) exercise data where the actual ground-truth is known.$$$in this work, we use various classification techniques to identify the culprit in a cyberattack and find that deceptive activities account for the majority of misclassified samples.$$$we also explore several heuristics to alleviate some of the misclassification caused by deception.",EMPIRICAL
D06027,"high implementation complexity of multi-scroll circuit is a bottleneck problem in real chaos-based communication.$$$especially, in multi-scroll chua's circuit, the simplified implementation of piecewise-linear resistors with multiple segments is difficult due to their intricate irregular breakpoints and slopes.$$$to solve the challenge, this paper presents a systematic scheme for synthesizing a chua's diode with multi-segment piecewise-linearity, which is achieved by cascading even-numbered passive nonlinear resistors with odd-numbered ones via a negative impedance converter (nic).$$$as no extra dc bias voltage is employed and the scheme can be implemented by much simpler circuit.$$$the voltage-current characteristics of the obtained chua's diode are analyzed theoretically and verified by numerical simulations.$$$based on an available chua's diode and a second-order active sallen-key high-pass filter, a new inductor-free chua's circuit is then constructed to generate multi-scroll chaotic attractors.$$$the circuit simulations and hardware experiments both confirmed the feasibility of the designed system.",ENGINEERING
D02265,"we introduce segmental recurrent neural networks (srnns) which define, given an input sequence, a joint probability distribution over segmentations of the input and labelings of the segments.$$$representations of the input segments (i.e., contiguous subsequences of the input) are computed by encoding their constituent tokens using bidirectional recurrent neural nets, and these ""segment embeddings"" are used to define compatibility scores with output labels.$$$these local compatibility scores are integrated using a global semi-markov conditional random field.$$$both fully supervised training -- in which segment boundaries and labels are observed -- as well as partially supervised training -- in which segment boundaries are latent -- are straightforward.$$$experiments on handwriting recognition and joint chinese word segmentation/pos tagging show that, compared to models that do not explicitly represent segments such as bio tagging schemes and connectionist temporal classification (ctc), srnns obtain substantially higher accuracies.",THEORETICAL EMPIRICAL
D01942,"in this paper, we derive a temporal arbitrage policy for storage via reinforcement learning.$$$real-time price arbitrage is an important source of revenue for storage units, but designing good strategies have proven to be difficult because of the highly uncertain nature of the prices.$$$instead of current model predictive or dynamic programming approaches, we use reinforcement learning to design an optimal arbitrage policy.$$$this policy is learned through repeated charge and discharge actions performed by the storage unit through updating a value matrix.$$$we design a reward function that does not only reflect the instant profit of charge/discharge decisions but also incorporate the history information.$$$simulation results demonstrate that our designed reward function leads to significant performance improvement compared with existing algorithms.",THEORETICAL ENGINEERING
D00764,"a group of transition probability functions form a shannon's channel whereas a group of truth functions form a semantic channel.$$$by the third kind of bayes' theorem, we can directly convert a shannon's channel into an optimized semantic channel.$$$when a sample is not big enough, we can use a truth function with parameters to produce the likelihood function, then train the truth function by the conditional sampling distribution.$$$the third kind of bayes' theorem is proved.$$$a semantic information theory is simply introduced.$$$the semantic information measure reflects popper's hypothesis-testing thought.$$$the semantic information method (sim) adheres to maximum semantic information criterion which is compatible with maximum likelihood criterion and regularized least squares criterion.$$$it supports wittgenstein's view: the meaning of a word lies in its use.$$$letting the two channels mutually match, we obtain the channels' matching (cm) algorithm for machine learning.$$$the cm algorithm is used to explain the evolution of the semantic meaning of natural language, such as ""old age"".$$$the semantic channel for medical tests and the confirmation measures of test-positive and test-negative are discussed.$$$the applications of the cm algorithm to semi-supervised learning and non-supervised learning are simply introduced.$$$as a predictive model, the semantic channel fits variable sources and hence can overcome class-imbalance problem.$$$the sim strictly distinguishes statistical probability and logical probability and uses both at the same time.$$$this method is compatible with the thoughts of bayes, fisher, shannon, zadeh, tarski, davidson, wittgenstein, and popper.it is a competitive alternative to bayesian inference.",THEORETICAL
D03177,"bug localization in object oriented program ha s always been an important issue in softeware engineering.$$$in this paper, i propose a source level bug localization technique for object oriented embedded programs.$$$my proposed technique, presents the idea of debugging an object oriented program in class level, incorporating the object state information into the class dependence graph (cldg).$$$given a program (having buggy statement) and an input that fails and others pass, my approach uses concrete as well as symbolic execution to synthesize the passing inputs that marginally from the failing input in their control flow behavior.$$$a comparison of the execution traces of the failing input and the passing input provides necessary clues to the root-cause of the failure.$$$a state trace difference, regarding the respective nodes of the cldg is obtained, which leads to detect the bug in the program.",EMPIRICAL
D03046,"this paper proposes a new approach to a novel value network architecture for the game go, called a multi-labelled (ml) value network.$$$in the ml value network, different values (win rates) are trained simultaneously for different settings of komi, a compensation given to balance the initiative of playing first.$$$the ml value network has three advantages, (a) it outputs values for different komi, (b) it supports dynamic komi, and (c) it lowers the mean squared error (mse).$$$this paper also proposes a new dynamic komi method to improve game-playing strength.$$$this paper also performs experiments to demonstrate the merits of the architecture.$$$first, the mse of the ml value network is generally lower than the value network alone.$$$second, the program based on the ml value network wins by a rate of 67.6% against the program based on the value network alone.$$$third, the program with the proposed dynamic komi method significantly improves the playing strength over the baseline that does not use dynamic komi, especially for handicap games.$$$to our knowledge, up to date, no handicap games have been played openly by programs using value networks.$$$this paper provides these programs with a useful approach to playing handicap games.",ENGINEERING
D03065,"phase retrieval refers to the problem of recovering real- or complex-valued vectors from magnitude measurements.$$$the best-known algorithms for this problem are iterative in nature and rely on so-called spectral initializers that provide accurate initialization vectors.$$$we propose a novel class of estimators suitable for general nonlinear measurement systems, called linear spectral estimators (lspes), which can be used to compute accurate initialization vectors for phase retrieval problems.$$$the proposed lspes not only provide accurate initialization vectors for noisy phase retrieval systems with structured or random measurement matrices, but also enable the derivation of sharp and nonasymptotic mean-squared error bounds.$$$we demonstrate the efficacy of lspes on synthetic and real-world phase retrieval problems, and show that our estimators significantly outperform existing methods for structured measurement systems that arise in practice.",THEORETICAL EMPIRICAL
D00102,"during the life span of large software projects, developers often apply the same code changes to different code locations in slight variations.$$$since the application of these changes to all locations is time-consuming and error-prone, tools exist that learn change patterns from input examples, search for possible pattern applications, and generate corresponding recommendations.$$$in many cases, the generated recommendations are syntactically or semantically wrong due to code movements in the input examples.$$$thus, they are of low accuracy and developers cannot directly copy them into their projects without adjustments.$$$we present the accurate recommendation system (ares) that achieves a higher accuracy than other tools because its algorithms take care of code movements when creating patterns and recommendations.$$$on average, the recommendations by ares have an accuracy of 96% with respect to code changes that developers have manually performed in commits of source code archives.$$$at the same time ares achieves precision and recall values that are on par with other tools.",ENGINEERING
D06238,"acquisition of labeled training samples for affective computing is usually costly and time-consuming, as affects are intrinsically subjective, subtle and uncertain, and hence multiple human assessors are needed to evaluate each affective sample.$$$particularly, for affect estimation in the 3d space of valence, arousal and dominance, each assessor has to perform the evaluations in three dimensions, which makes the labeling problem even more challenging.$$$many sophisticated machine learning approaches have been proposed to reduce the data labeling requirement in various other domains, but so far few have considered affective computing.$$$this paper proposes two multi-task active learning for regression approaches, which select the most beneficial samples to label, by considering the three affect primitives simultaneously.$$$experimental results on the vam corpus demonstrated that our optimal sample selection approaches can result in better estimation performance than random selection and several traditional single-task active learning approaches.$$$thus, they can help alleviate the data labeling problem in affective computing, i.e., better estimation performance can be obtained from fewer labeling queries.",THEORETICAL
D01372,"literature search is critical for any scientific research.$$$different from web or general domain search, a large portion of queries in scientific literature search are entity-set queries, that is, multiple entities of possibly different types.$$$entity-set queries reflect user's need for finding documents that contain multiple entities and reveal inter-entity relationships and thus pose non-trivial challenges to existing search algorithms that model each entity separately.$$$however, entity-set queries are usually sparse (i.e., not so repetitive), which makes ineffective many supervised ranking models that rely heavily on associated click history.$$$to address these challenges, we introduce setrank, an unsupervised ranking framework that models inter-entity relationships and captures entity type information.$$$furthermore, we develop a novel unsupervised model selection algorithm, based on the technique of weighted rank aggregation, to automatically choose the parameter settings in setrank without resorting to a labeled validation set.$$$we evaluate our proposed unsupervised approach using datasets from trec genomics tracks and semantic scholar's query log.$$$the experiments demonstrate that setrank significantly outperforms the baseline unsupervised models, especially on entity-set queries, and our model selection algorithm effectively chooses suitable parameter settings.",EMPIRICAL
D00626,"a smart city provides its people with high standard of living through advanced technologies and transport is one of the major foci.$$$with the advent of autonomous vehicles (avs), an av-based public transportation system has been proposed recently, which is capable of providing new forms of transportation services with high efficiency, high flexibility, and low cost.$$$for the benefit of passengers, multitenancy can increase market competition leading to lower service charge and higher quality of service.$$$in this paper, we study the pricing issue of the multi-tenant av public transportation system and three types of services are defined.$$$the pricing process for each service type is modeled as a combinatorial auction, in which the service providers, as bidders, compete for offering transportation services.$$$the winners of the auction are determined through an integer linear program.$$$to prevent the bidders from raising their bids for higher returns, we propose a strategy-proof vickrey-clarke-groves-based charging mechanism, which can maximize the social welfare, to settle the final charges for the customers.$$$we perform extensive simulations to verify the analytical results and evaluate the performance of the charging mechanism.",ENGINEERING
D03917,"a typical problem in moocs is the missing opportunity for course conductors to individually support students in overcoming their problems and misconceptions.$$$this paper presents the results of automatically intervening on struggling students during programming exercises and offering peer feedback and tailored bonus exercises.$$$to improve learning success, we do not want to abolish instructionally desired trial and error but reduce extensive struggle and demotivation.$$$therefore, we developed adaptive automatic just-in-time interventions to encourage students to ask for help if they require considerably more than average working time to solve an exercise.$$$additionally, we offered students bonus exercises tailored for their individual weaknesses.$$$the approach was evaluated within a live course with over 5,000 active students via a survey and metrics gathered alongside.$$$results show that we can increase the call outs for help by up to 66% and lower the dwelling time until issuing action.$$$learnings from the experiments can further be used to pinpoint course material to be improved and tailor content to be audience specific.",ENGINEERING EMPIRICAL
D01076,"mafia (also called werewolf) is a party game.$$$the participants are divided into two competing groups: citizens and a mafia.$$$the objective is to eliminate the opponent group.$$$the game consists of two consecutive phases (day and night) and a certain set of actions (e.g. lynching during day).$$$the mafia members have additional powers (knowing each other, killing during night) whereas the citizens are more numerous.$$$we propose a simple mathematical model of the game, which is essentially a pure death process with discrete time.$$$we find the closed-form solutions for the mafia winning-chance, w(n,m), as well as for the evolution of the game.$$$moreover, we investigate the discrete properties of results, as well as their continuous-time approximations.$$$it turns out that a relatively small number of the mafia members, i.e. proportional to the square root of the total number of players, gives equal winning-chance for both groups.$$$furthermore, the game strongly depends on the parity of the total number of players.",THEORETICAL
D03257,"effective data analysis ideally requires the analyst to have high expertise as well as high knowledge of the data.$$$even with such familiarity, manually pursuing all potential hypotheses and exploring all possible views is impractical.$$$we present datasite, a proactive visual analytics system where the burden of selecting and executing appropriate computations is shared by an automatic server-side computation engine.$$$salient features identified by these automatic background processes are surfaced as notifications in a feed timeline.$$$datasite effectively turns data analysis into a conversation between analyst and computer, thereby reducing the cognitive load and domain knowledge requirements.$$$we validate the system with a user study comparing it to a recent visualization recommendation system, yielding significant improvement, particularly for complex analyses that existing analytics systems do not support well.",ENGINEERING
D02317,"recently, increasing attention has been directed to the study of the speech emotion recognition, in which global acoustic features of an utterance are mostly used to eliminate the content differences.$$$however, the expression of speech emotion is a dynamic process, which is reflected through dynamic durations, energies, and some other prosodic information when one speaks.$$$in this paper, a novel local dynamic pitch probability distribution feature, which is obtained by drawing the histogram, is proposed to improve the accuracy of speech emotion recognition.$$$compared with most of the previous works using global features, the proposed method takes advantage of the local dynamic information conveyed by the emotional speech.$$$several experiments on berlin database of emotional speech are conducted to verify the effectiveness of the proposed method.$$$the experimental results demonstrate that the local dynamic information obtained with the proposed method is more effective for speech emotion recognition than the traditional global features.",THEORETICAL
D00562,"binary classification rules based on covariates typically depend on simple loss functions such as zero-one misclassification.$$$some cases may require more complex loss functions.$$$for example, individual-level monitoring of hiv-infected individuals on antiretroviral therapy (art) requires periodic assessment of treatment failure, defined as having a viral load (vl) value above a certain threshold.$$$in some resource limited settings, vl tests may be limited by cost or technology, and diagnoses are based on other clinical markers.$$$depending on scenario, higher premium may be placed on avoiding false-positives which brings greater cost and reduced treatment options.$$$here, the optimal rule is determined by minimizing a weighted misclassification loss/risk.$$$we propose a method for finding and cross-validating optimal binary classification rules under weighted misclassification loss.$$$we focus on rules comprising a prediction score and an associated threshold, where the score is derived using an ensemble learner.$$$simulations and examples show that our method, which derives the score and threshold jointly, more accurately estimates overall risk and has better operating characteristics compared with methods that derive the score first and the cutoff conditionally on the score especially for finite samples.",THEORETICAL
D05445,"in this paper we present and start analyzing the icub world data-set, an object recognition data-set, we acquired using a human-robot interaction (hri) scheme and the icub humanoid robot platform.$$$our set up allows for rapid acquisition and annotation of data with corresponding ground truth.$$$while more constrained in its scopes -- the icub world is essentially a robotics research lab -- we demonstrate how the proposed data-set poses challenges to current recognition systems.$$$the icubworld data-set is publicly available.$$$the data-set can be downloaded from: http://www.iit.it/en/projects/data-sets.html.",ENGINEERING
D05104,"delay-coordinate reconstruction is a proven modeling strategy for building effective forecasts of nonlinear time series.$$$the first step in this process is the estimation of good values for two parameters, the time delay and the embedding dimension.$$$many heuristics and strategies have been proposed in the literature for estimating these values.$$$few, if any, of these methods were developed with forecasting in mind, however, and their results are not optimal for that purpose.$$$even so, these heuristics---intended for other applications---are routinely used when building delay coordinate reconstruction-based forecast models.$$$in this paper, we propose a new strategy for choosing optimal parameter values for forecast methods that are based on delay-coordinate reconstructions.$$$the basic calculation involves maximizing the shared information between each delay vector and the future state of the system.$$$we illustrate the effectiveness of this method on several synthetic and experimental systems, showing that this metric can be calculated quickly and reliably from a relatively short time series, and that it provides a direct indication of how well a near-neighbor based forecasting method will work on a given delay reconstruction of that time series.$$$this allows a practitioner to choose reconstruction parameters that avoid any pathologies, regardless of the underlying mechanism, and maximize the predictive information contained in the reconstruction.",THEORETICAL
D03008,"recent networking research has identified that data-driven congestion control (cc) can be more efficient than traditional cc in tcp.$$$deep reinforcement learning (rl), in particular, has the potential to learn optimal network policies.$$$however, rl suffers from instability and over-fitting, deficiencies which so far render it unacceptable for use in datacenter networks.$$$in this paper, we analyze the requirements for rl to succeed in the datacenter context.$$$we present a new emulator, iroko, which we developed to support different network topologies, congestion control algorithms, and deployment scenarios.$$$iroko interfaces with the openai gym toolkit, which allows for fast and fair evaluation of different rl and traditional cc algorithms under the same conditions.$$$we present initial benchmarks on three deep rl algorithms compared to tcp new vegas and dctcp.$$$our results show that these algorithms are able to learn a cc policy which exceeds the performance of tcp new vegas on a dumbbell and fat-tree topology.$$$we make our emulator open-source and publicly available: https://github.com/dcgym/iroko",ENGINEERING
D01116,"we report simulation of nanostructured memristor device using piecewise linear and nonlinear window functions for rram and neuromorphic applications.$$$the linear drift model of memristor has been exploited for the simulation purpose with the linear and non-linear window function as the mathematical and scripting basis.$$$the results evidences that the piecewise linear window function can aptly simulate the memristor characteristics pertaining to rram application.$$$however, the nonlinear window function could exhibit the nonlinear phenomenon in simulation only at the lower magnitude of control parameter.$$$this has motivated us to propose a new nonlinear window function for emulating the simulation model of the memristor.$$$interestingly, the proposed window function is scalable up to f(x)=1 and exhibits the nonlinear behavior at higher magnitude of control parameter.$$$moreover, the simulation results of proposed nonlinear window function are encouraging and reveals the smooth nonlinear change from lrs to hrs and vice versa and therefore useful for the neuromorphic applications.",THEORETICAL
D03909,"as robots become increasingly prevalent in human environments, there will inevitably be times when a robot needs to interrupt a human to initiate an interaction.$$$our work introduces the first interruptibility-aware mobile robot system, and evaluates the effects of interruptibility-awareness on human task performance, robot task performance, and on human interpretation of the robot's social aptitude.$$$our results show that our robot is effective at predicting interruptibility at high accuracy, allowing it to interrupt at more appropriate times.$$$results of a large-scale user study show that while participants are able to maintain task performance even in the presence of interruptions, interruptibility-awareness improves the robot's task performance and improves participant social perception of the robot.",EMPIRICAL
D02154,"maximum-likelihood estimation (mle) is widely used in sequence to sequence tasks for model training.$$$it uniformly treats the generation/prediction of each target token as multi-class classification, and yields non-smooth prediction probabilities: in a target sequence, some tokens are predicted with small probabilities while other tokens are with large probabilities.$$$according to our empirical study, we find that the non-smoothness of the probabilities results in low quality of generated sequences.$$$in this paper, we propose a sentence-wise regularization method which aims to output smooth prediction probabilities for all the tokens in the target sequence.$$$our proposed method can automatically adjust the weights and gradients of each token in one sentence to ensure the predictions in a sequence uniformly well.$$$experiments on three neural machine translation tasks and one text summarization task show that our method outperforms conventional mle loss on all these tasks and achieves promising bleu scores on wmt14 english-german and wmt17 chinese-english translation task.",EMPIRICAL
D06224,"recurrent neural networks (rnns) are the state of the art in sequence modeling for natural language.$$$however, it remains poorly understood what grammatical characteristics of natural language they implicitly learn and represent as a consequence of optimizing the language modeling objective.$$$here we deploy the methods of controlled psycholinguistic experimentation to shed light on to what extent rnn behavior reflects incremental syntactic state and grammatical dependency representations known to characterize human linguistic behavior.$$$we broadly test two publicly available long short-term memory (lstm) english sequence models, and learn and test a new japanese lstm.$$$we demonstrate that these models represent and maintain incremental syntactic state, but that they do not always generalize in the same way as humans.$$$furthermore, none of our models learn the appropriate grammatical dependency configurations licensing reflexive pronouns or negative polarity items.",EMPIRICAL
D05292,"wireless sensor network (wsn) consists of large number of low-cost, resource-constrained sensor nodes.$$$the constraints of the wireless sensor node is their characteristics which include low memory, low computation power, they are deployed in hostile area and left unattended, small range of communication capability and low energy capabilities.$$$base on those characteristics makes this network vulnerable to several attacks, such as sinkhole attack.$$$sinkhole attack is a type of attack were compromised node tries to attract network traffic by advertise its fake routing update.$$$one of the impacts of sinkhole attack is that, it can be used to launch other attacks like selective forwarding attack, acknowledge spoofing attack and drops or altered routing information.$$$it can also used to send bogus information to base station.$$$this paper is focus on exploring and analyzing the existing solutions which used to detect and identify sinkhole attack in wireless sensor network.$$$the analysis is based on advantages and limitation of the proposed solutions.",OTHERS
D03510,"this work presents a supervised learning based approach to the computer vision problem of frame interpolation.$$$the presented technique could also be used in the cartoon animations since drawing each individual frame consumes a noticeable amount of time.$$$the most existing solutions to this problem use unsupervised methods and focus only on real life videos with already high frame rate.$$$however, the experiments show that such methods do not work as well when the frame rate becomes low and object displacements between frames becomes large.$$$this is due to the fact that interpolation of the large displacement motion requires knowledge of the motion structure thus the simple techniques such as frame averaging start to fail.$$$in this work the deep convolutional neural network is used to solve the frame interpolation problem.$$$in addition, it is shown that incorporating the prior information such as optical flow improves the interpolation quality significantly.",THEORETICAL
